Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
2024-06-23 20:24:26,,UTC-04:00,Have any alcoholic drinks?,true,
2024-06-23 20:24:26,,UTC-04:00,Have any caffeine? ,true,
2024-06-23 20:24:26,,UTC-04:00,Take creatine?,false,
2024-06-23 20:24:26,,UTC-04:00,Viewed a screen device in bed?,true,
2024-06-23 20:24:26,,UTC-04:00,Hydrated sufficiently?,true,
2024-06-23 20:24:26,,UTC-04:00,Have an injury or wound,false,
2024-06-23 20:24:26,,UTC-04:00,Masturbate?,false,
2024-06-23 20:24:26,,UTC-04:00,Consumed protein?,false,
2024-06-23 20:24:26,,UTC-04:00,Read (non-screened device) while in bed?,false,
2024-06-23 20:24:26,,UTC-04:00,Share your bed?,true,
2024-06-23 20:24:26,,UTC-04:00,Feeling sick or ill?,false,
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,Have any alcoholic drinks?,true,
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,Have any caffeine? ,true,
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,Take creatine?,false,
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,Viewed a screen device in bed?,true,
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,Hydrated sufficiently?,true,
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,Have an injury or wound,false,
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,Masturbate?,false,
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,Consumed protein?,false,
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,Read (non-screened device) while in bed?,false,
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,Share your bed?,true,
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,Feeling sick or ill?,false,
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,Have any alcoholic drinks?,true,
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,Have any caffeine? ,true,
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,Take creatine?,false,
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,Viewed a screen device in bed?,true,
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,Hydrated sufficiently?,true,
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,Have an injury or wound,false,
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,Masturbate?,false,
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,Consumed protein?,false,
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,Read (non-screened device) while in bed?,false,
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,Share your bed?,true,
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,Feeling sick or ill?,false,
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,Have any alcoholic drinks?,true,
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,Have any caffeine? ,true,
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,Take creatine?,false,
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,Viewed a screen device in bed?,true,
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,Hydrated sufficiently?,true,
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,Have an injury or wound,false,
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,Masturbate?,false,
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,Consumed protein?,false,
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,Read (non-screened device) while in bed?,false,
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,Share your bed?,false,
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,Feeling sick or ill?,false,
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,Have any alcoholic drinks?,true,
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,Have any caffeine? ,true,
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,Take creatine?,false,
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,Viewed a screen device in bed?,true,
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,Hydrated sufficiently?,true,
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,Have an injury or wound,false,
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,Masturbate?,false,
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,Consumed protein?,false,
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,Read (non-screened device) while in bed?,false,
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,Share your bed?,false,
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,Feeling sick or ill?,false,
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,Have any alcoholic drinks?,true,
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,Have any caffeine? ,true,
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,Take creatine?,false,
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,Viewed a screen device in bed?,true,
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,Hydrated sufficiently?,true,
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,Have an injury or wound,false,
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,Masturbate?,false,
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,Consumed protein?,false,
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,Read (non-screened device) while in bed?,false,
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,Share your bed?,false,
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,Feeling sick or ill?,false,
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,Have any alcoholic drinks?,false,
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,Have any caffeine? ,false,
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,Take creatine?,false,
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,Viewed a screen device in bed?,true,
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,Hydrated sufficiently?,true,
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,Have an injury or wound,false,
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,Masturbate?,false,
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,Consumed protein?,false,
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,Read (non-screened device) while in bed?,false,
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,Share your bed?,false,
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,Feeling sick or ill?,false,
2024-06-11 02:46:25,2024-06-11 22:07:24,UTC+01:00,Have any alcoholic drinks?,true,
2024-06-11 02:46:25,2024-06-11 22:07:24,UTC+01:00,Have any caffeine? ,true,
2024-06-11 02:46:25,2024-06-11 22:07:24,UTC+01:00,Take creatine?,false,
2024-06-11 02:46:25,2024-06-11 22:07:24,UTC+01:00,Viewed a screen device in bed?,true,
2024-06-11 02:46:25,2024-06-11 22:07:24,UTC+01:00,Hydrated sufficiently?,true,
2024-06-11 02:46:25,2024-06-11 22:07:24,UTC+01:00,Have an injury or wound,false,
