Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-06-23 20:24:26,,UTC-04:00,65,77,16,34.30,96.57,,,,,2024-06-23 20:24:26,2024-06-24 05:44:09,100,15.9,504,557,288,77,139,53,457,0,90,
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,,,,,,4.0,279,144,92,,,,,,,,,,,,,,
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,50,87,12,34.40,96.95,7.1,1330,154,94,2024-06-15 21:42:59,2024-06-16 06:47:05,100,15.5,477,544,371,101,5,67,457,0,87,73
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,47,81,11,33.40,96.57,4.7,1662,135,89,2024-06-14 22:23:57,2024-06-15 07:18:40,100,15.3,471,522,343,76,52,51,463,5,90,74
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,42,85,11,33.90,96.40,4.4,1617,153,89,2024-06-13 23:24:15,2024-06-14 08:28:31,98,15.5,449,522,284,103,62,73,458,0,86,57
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,60,82,13,33.90,97.32,5.6,1833,168,87,2024-06-12 22:20:37,2024-06-13 08:13:51,100,15.0,461,587,333,85,43,126,458,0,79,43
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,87,89,20,34.27,97.96,5.1,1751,145,92,2024-06-11 22:07:24,2024-06-12 08:21:56,100,16.6,585,613,309,60,216,28,383,111,98,23
2024-06-11 02:46:25,2024-06-11 22:07:24,UTC+01:00,8,105,6,34.70,94.70,7.3,1545,164,99,2024-06-11 02:46:25,2024-06-11 07:51:21,50,14.9,220,285,119,55,46,65,442,83,76,33
2024-06-10 04:43:44,2024-06-11 02:46:25,UTC+01:00,17,107,9,35.84,93.09,6.9,1650,144,101,2024-06-10 04:43:44,2024-06-10 10:04:49,66,16.5,317,319,143,70,104,2,483,0,99,35
2024-06-08 20:35:27,2024-06-10 04:43:44,UTC+01:00,48,80,13,34.00,97.46,13.8,2992,174,95,2024-06-08 20:35:27,2024-06-09 08:06:41,100,16.2,599,691,351,122,126,92,494,127,87,12
2024-06-08 03:40:59,2024-06-08 20:35:27,UTC+01:00,23,83,37,31.80,,6.1,1318,160,86,2024-06-08 03:40:59,2024-06-08 06:38:49,28,17.3,152,177,108,7,37,25,539,79,85,91
2024-06-06 22:11:05,2024-06-07 22:40:59,UTC-04:00,54,72,14,34.47,95.59,6.8,1850,152,87,2024-06-06 22:11:05,2024-06-07 05:42:46,70,15.0,363,433,230,96,37,70,521,62,84,90
2024-06-05 22:40:06,2024-06-06 22:11:05,UTC-04:00,31,88,10,33.30,96.31,5.4,1700,139,89,2024-06-05 22:40:06,2024-06-06 05:46:40,75,15.5,378,424,236,57,85,46,503,44,89,89
2024-06-04 22:11:43,2024-06-05 22:40:06,UTC-04:00,43,77,12,34.21,96.00,6.0,1773,140,89,2024-06-04 22:11:43,2024-06-05 06:14:25,83,15.4,422,472,250,104,68,50,511,53,89,89
2024-06-03 21:51:32,2024-06-04 22:11:43,UTC-04:00,30,79,11,33.80,96.63,5.1,1741,137,84,2024-06-03 21:51:32,2024-06-04 06:09:59,79,15.5,396,496,268,84,44,100,503,33,79,80
2024-06-02 22:59:49,2024-06-03 21:51:32,UTC-04:00,83,85,21,33.11,96.44,10.9,1957,176,89,2024-06-02 22:59:49,2024-06-03 06:03:30,86,17.5,400,420,136,80,184,20,467,10,95,73
2024-06-01 21:21:03,2024-06-02 22:59:49,UTC-04:00,88,78,23,34.64,96.50,4.3,1799,124,90,2024-06-01 21:21:03,2024-06-02 06:33:30,97,17.2,473,546,252,89,132,73,489,29,89,68
2024-05-31 22:44:11,2024-06-01 21:21:03,UTC-04:00,62,77,14,34.10,97.24,6.7,1696,152,89,2024-05-31 22:44:11,2024-06-01 06:55:20,90,15.0,415,491,316,55,44,76,461,0,84,62
2024-05-30 19:47:17,2024-05-31 22:44:11,UTC-04:00,52,78,12,33.60,96.82,7.4,2059,170,83,2024-05-30 19:47:17,2024-05-31 05:53:06,100,14.6,490,604,339,66,85,114,425,78,81,47
2024-05-29 23:26:02,2024-05-30 19:47:17,UTC-04:00,16,89,10,32.28,97.20,9.9,1764,159,92,2024-05-29 23:26:02,2024-05-30 06:15:18,67,13.1,317,403,160,92,65,86,474,16,79,76
2024-05-28 21:47:36,2024-05-29 23:26:02,UTC-04:00,77,73,18,32.40,97.21,4.9,1813,135,86,2024-05-28 21:47:36,2024-05-29 05:45:50,93,14.4,445,472,261,75,109,27,478,18,94,85
2024-05-27 21:26:47,2024-05-28 21:47:36,UTC-04:00,74,73,17,32.10,97.39,6.0,1776,151,84,2024-05-27 21:26:47,2024-05-28 06:06:54,93,14.6,474,517,255,91,128,43,511,51,92,84
2024-05-26 22:45:01,2024-05-27 21:26:47,UTC-04:00,18,91,9,33.60,95.72,7.1,1750,147,92,2024-05-26 22:45:01,2024-05-27 06:34:37,78,14.8,358,463,194,47,117,105,460,0,77,77
2024-05-25 20:53:09,2024-05-26 22:45:01,UTC-04:00,38,77,11,33.70,96.56,7.3,1956,152,89,2024-05-25 20:53:09,2024-05-26 06:24:35,100,14.2,504,568,328,116,60,64,486,0,89,81
2024-05-24 21:10:49,2024-05-25 20:53:09,UTC-04:00,98,72,23,32.50,95.68,14.3,2317,184,84,2024-05-24 21:10:49,2024-05-25 07:00:01,100,16.3,538,586,243,129,166,48,494,36,91,78
2024-05-23 23:14:46,2024-05-24 21:10:49,UTC-04:00,34,86,11,32.60,95.81,5.6,1622,152,86,2024-05-23 23:14:46,2024-05-24 07:06:29,85,14.2,418,470,195,124,99,52,491,33,89,67
