Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-06-23 20:24:26,,UTC-04:00,2024-06-23 20:24:26,2024-06-24 05:44:09,100,15.9,504,557,288,77,139,53,457,0,90,,false
2024-06-22 23:00:22,2024-06-23 20:24:26,UTC-04:00,2024-06-22 23:00:22,2024-06-23 07:00:22,,,,,,,,,,,,,false
2024-06-15 21:42:59,2024-06-16 21:42:59,UTC+01:00,2024-06-15 21:42:59,2024-06-16 06:47:05,100,15.5,477,544,371,101,5,67,457,0,87,73,false
2024-06-14 22:23:57,2024-06-15 21:42:59,UTC+01:00,2024-06-14 22:23:57,2024-06-15 07:18:40,100,15.3,471,522,343,76,52,51,463,5,90,74,false
2024-06-13 23:24:15,2024-06-14 22:23:57,UTC+01:00,2024-06-13 23:24:15,2024-06-14 08:28:31,98,15.5,449,522,284,103,62,73,458,0,86,57,false
2024-06-12 22:20:37,2024-06-13 23:24:15,UTC+01:00,2024-06-12 22:20:37,2024-06-13 08:13:51,100,15.0,461,587,333,85,43,126,458,0,79,43,false
2024-06-11 22:07:24,2024-06-12 22:20:37,UTC+01:00,2024-06-11 22:07:24,2024-06-12 08:21:56,100,16.6,585,613,309,60,216,28,383,111,98,23,false
2024-06-11 02:46:25,2024-06-11 22:07:24,UTC+01:00,2024-06-11 11:19:59,2024-06-11 14:51:00,33,15.5,188,210,139,10,39,22,568,111,89,,true
2024-06-11 02:46:25,2024-06-11 22:07:24,UTC+01:00,2024-06-11 02:46:25,2024-06-11 07:51:21,50,14.9,220,285,119,55,46,65,442,83,76,33,false
2024-06-10 04:43:44,2024-06-11 02:46:25,UTC+01:00,2024-06-10 13:40:04,2024-06-10 15:44:05,19,15.4,100,123,72,23,5,23,542,83,90,,true
2024-06-10 04:43:44,2024-06-11 02:46:25,UTC+01:00,2024-06-10 04:43:44,2024-06-10 10:04:49,66,16.5,317,319,143,70,104,2,483,0,99,35,false
2024-06-08 20:35:27,2024-06-10 04:43:44,UTC+01:00,2024-06-08 20:35:27,2024-06-09 08:06:41,100,16.2,599,691,351,122,126,92,494,127,87,12,false
2024-06-08 03:40:59,2024-06-08 20:35:27,UTC+01:00,2024-06-08 11:28:15,2024-06-08 13:11:36,16,18.0,92,103,28,13,51,11,587,127,92,,true
2024-06-08 03:40:59,2024-06-08 20:35:27,UTC+01:00,2024-06-08 03:40:59,2024-06-08 06:38:49,28,17.3,152,177,108,7,37,25,539,79,85,91,false
2024-06-06 22:11:05,2024-06-07 22:40:59,UTC-04:00,2024-06-06 22:11:05,2024-06-07 05:42:46,70,15.0,363,433,230,96,37,70,521,62,84,90,false
