Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-06-23 20:24:26,,UTC-04:00,2024-06-24 08:08:18,2024-06-24 08:29:36,21,Running,10.6,272.0,183,161,1,6,12,58,23,true,4068.88,91.22,0.87
2024-06-10 04:43:44,2024-06-11 02:46:25,UTC+01:00,2024-06-10 13:10:30,2024-06-10 13:25:29,14,Walking,4.3,39.0,135,117,26,74,0,0,0,false,,,
2024-06-08 20:35:27,2024-06-10 04:43:44,UTC+01:00,2024-06-09 23:25:30,2024-06-10 00:07:29,41,Activity,9.4,359.0,174,142,1,14,65,20,0,false,,,
2024-06-02 22:59:49,2024-06-03 21:51:32,UTC-04:00,2024-06-03 08:13:34,2024-06-03 08:41:25,27,Running,9.6,300.0,175,151,1,5,41,53,0,true,5008.67,47.54,-0.60
2024-05-31 22:44:11,2024-06-01 21:21:03,UTC-04:00,2024-06-01 09:52:35,2024-06-01 11:22:17,89,Disc Golf,6.0,188.0,138,114,44,56,0,0,0,true,4696.66,403.33,13.89
2024-05-30 19:47:17,2024-05-31 22:44:11,UTC-04:00,2024-05-31 14:55:46,2024-05-31 15:15:45,19,Functional Fitness,5.4,105.0,167,128,9,48,36,7,0,false,,,
2024-05-29 23:26:02,2024-05-30 19:47:17,UTC-04:00,2024-05-30 15:32:07,2024-05-30 15:52:17,20,Running,7.2,190.0,159,145,4,6,66,24,0,true,3328.10,52.06,0.30
2024-05-29 23:26:02,2024-05-30 19:47:17,UTC-04:00,2024-05-30 09:28:45,2024-05-30 10:22:20,53,Yard Work,4.9,117.0,140,104,41,26,4,0,0,false,,,
2024-05-27 21:26:47,2024-05-28 21:47:36,UTC-04:00,2024-05-28 12:26:55,2024-05-28 12:55:00,28,Walking,4.4,45.0,127,112,59,41,0,0,0,true,2327.92,42.76,3.10
2024-05-26 22:45:01,2024-05-27 21:26:47,UTC-04:00,2024-05-27 09:05:10,2024-05-27 09:57:28,52,Disc Golf,4.7,91.0,138,110,62,38,0,0,0,true,1714.13,180.32,-7.05
2024-05-25 20:53:09,2024-05-26 22:45:01,UTC-04:00,2024-05-26 11:13:30,2024-05-26 11:40:29,26,Disc Golf,4.7,72.0,141,117,26,72,2,0,0,false,,,
2024-05-24 21:10:49,2024-05-25 20:53:09,UTC-04:00,2024-05-25 11:34:54,2024-05-25 12:26:30,51,Running,13.7,616.0,184,156,0,6,21,66,7,true,,,
2024-05-21 21:50:51,2024-05-22 21:30:40,UTC-04:00,2024-05-22 14:41:36,2024-05-22 14:59:57,18,Running,8.0,205.0,173,153,0,3,33,64,0,true,3254.35,43.96,-1.20
2024-05-21 21:50:51,2024-05-22 21:30:40,UTC-04:00,2024-05-22 12:12:39,2024-05-22 13:44:42,92,Yard Work,7.3,339.0,143,116,22,59,8,0,0,false,,,
2024-05-20 21:09:56,2024-05-21 21:50:51,UTC-04:00,2024-05-21 15:33:10,2024-05-21 16:11:34,38,Running,8.3,300.0,158,139,0,28,67,5,0,true,5078.28,104.36,-5.60
2024-05-20 21:09:56,2024-05-21 21:50:51,UTC-04:00,2024-05-21 12:24:37,2024-05-21 13:06:03,41,Disc Golf,4.2,54.0,132,109,87,13,0,0,0,true,1501.44,251.05,-12.31
2024-05-20 21:09:56,2024-05-21 21:50:51,UTC-04:00,2024-05-21 10:02:27,2024-05-21 10:16:20,13,Walking,3.7,17.0,127,106,84,16,0,0,0,true,1042.75,54.34,0.60
